hhmem_number;male_adults_over_65;female_adults_over_65;male_adults_15_65;female_adults_15_65;male_children_5_14;female_children_5_14;male_children_0_4;female_children_0_4;dep_ratio;head_age;head_age_cat;head_gender;head_education;incsource_biggest1;incsource_biggest2;hh_income_perc_cocoa;hh_income_perc_othercrops;hh_income_perc_livestock;hh_income_perc_fish;hh_income_perc_bushproducts;hh_income_perc_farmlabour;hh_income_perc_nonaglabour;hh_income_perc_smallbusiness;hh_income_perc_comp;hh_income_perc_govt;hh_income_perc_landsalelease;hh_income_perc_remittances;hh_income_perc_other;n_crops_produced;n_crops_sold;crops_important1;crops_important2;all_land_known_yn;all_land_cultivated_ha;all_land_owned_ha;all_land_leased_ha;all_land_scrop_abunu_ha;all_land_scrop_abusa_ha;all_land_fallow_ha;all_land_numlandparcels;all_land_leasedout_yn;all_land_leasedout_landunit_ha;cocoa_land_known_yn;cocoa_land_used_ha;cocoa_land_used_morethan5_ha;cocoa_land_owned_ha;cocoa_land_leased_ha;cocoa_land_scrop_abunu_ha;cocoa_land_scrop_abusa_ha;cocoa_land_numlandparcels;cocoa_intercrop_yn;cocoa_prod_known_yn;cocoa_prod_total_kgs;cocoa_prod_total_kgsha;cocoa_valueproduction_usd;cocoa_valueproduction_usd_ha;cocoa_gfert_yn;cocoa_lfert_yn;cocoa_herb_yn;cocoa_pest_yn;cocoa_fung_yn;cocoa_ferment_yn;cocoa_marketing_income_yn;cocoa_marketing_income_usd;cocoa_marketing_income_usdha;cocoa_certification_yn;cocoa_certification_clean_yn;cocoa_prodgroup_hhmem;cocoa_credit_yn;loan_lastyear_yn;loan_amount_usd;ls_dairy_cattle;ls_cows_bulls;ls_horses_donkeys_mules;ls_goats;ls_pigs;ls_rabbits;ls_grasscutter;ls_sheep;ls_chickens;ls_other_poultry;ls_other;foodsec1;foodsec2;foodsec3;foodsec4;foodsec5;foodsec6;foodsec7;foodsec8;foodsec9;foodsec10;foodsec11;foodsec12;instanceid;hh_income_1;hh_income_2;hh_income_3;hh_income_4;hh_income_5;hh_income_6;hh_income_7;hh_income_8;hh_income_9;hh_income_10;hh_income_11;hh_income_12;hh_income_13;n_hh_incomes;dhs;dhs_combined;dhs_quintile;PPI_SCORE;PPI_100_Nat;PPI_125dollar_day;PPI_200dollar_day;PPI_250dollar_day;PPI_190dollar_day;PPI_310dollar_day;non_cocoa_land;share_cocoa_land
3;0;0;1;2;0;0;0;0;0;49;6;1;1;1;2;0,89;0,11;0;0;0;0;0;0;0;0;0;0;0;5;3;10;35;1;4,856235;4,856235;0;0;0;0;2;0;;1;4,0468626;3,2374902;4,0468626;0;0;0;2;1;1;576;177,9156;998,937;308,55292;1;0;1;1;1;1;1;1109,93;342,83658;1;1;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:d8673519-1c32-4813-afde-b79347fb77d3;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0,71724087;-0,10622792;2;53;7,2;0,4;2,5;6,8;1;9,5;0,8093724;0,8333334
7;0;0;2;1;0;1;2;1;1,3333334;63;7;1;2;1;2;0,6;0,25;0;0;0;0;0;0;0;0;0;0,15;0;8;3;10;30;1;3,035147;3,035147;0;0;0;1,2140588;2;0;;1;1,6187451;1,416402;1,6187451;0;0;0;1;1;1;1024;722,9586;1775,888;1253,8022;1;1;0;1;0;1;0;;;2;0;0;0;0;;1;1;1;1;1;1;1;1;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:2d854f37-f8ec-4436-af63-279a0e4fde84;1;1;0;0;0;0;0;0;0;0;0;1;0;3;1,6726072;0,51284945;4;60;2,2;0;1;2,1;0,4;2,9;1,4164019;0,53333336
6;0;0;1;3;1;1;0;0;0,5;53;6;2;0;1;8;0,5;0,15;0;0;0;0;0;0,35;0;0;0;0;0;3;3;10;8;1;0,80937254;0,6070294;0,20234314;0;0;0;2;0;;1;0,6070294;0,6070294;0,6070294;0;0;0;1;0;1;128;210,86295;221,98601;365,69235;0;1;1;1;0;1;0;;;1;1;0;1;0;;1;1;1;2;1;1;1;1;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:4b6e26f8-7ce7-4ca1-b9d0-fc87715dcd42;1;1;0;0;0;0;0;1;0;0;0;0;0;3;-0,37434077;-0,8135728;1;32;40,2;7,2;27,1;41,3;16,5;45,4;0,20234317;0,74999994
3;0;0;2;1;0;0;0;0;0;65;7;1;4;1;2;0,65;0,3;0;0;0;0;0;0;0,05;0;0;0;0;4;4;10;35;1;2,4281175;2,4281175;0;0;0;0,80937254;2;0;;1;1,6187451;1,6187451;1,6187451;0;0;0;1;1;1;512;316,2944;887,94403;548,5385;1;1;0;0;1;1;0;;;1;1;0;0;0;;1;1;1;2;1;1;1;1;4;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:54bd7e11-2873-431a-ac48-6b2864c9a80e;1;1;0;0;0;0;0;0;1;0;0;0;0;3;0,5144972;-0,2376058;2;58;4,3;0,3;2,2;5,1;0,9;5,8;0,8093724;0,6666667
7;0;0;1;1;4;0;1;0;2,5;42;5;1;1;1;2;0,45;0,3;0,25;0;0;0;0;0;0;0;0;0;0;2;2;10;30;1;10,117157;10,117157;0;0;0;0;2;0;;1;4,0468626;0;4,0468626;0;0;0;2;1;1;;;;;1;1;1;0;1;1;1;0;;1;1;0;0;0;;1;1;1;2;1;1;1;2;4;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:2016b4d1-ffd6-4ff3-896b-09cb7713ab35;1;1;1;0;0;0;0;0;0;0;0;0;0;3;-0,020950595;-0,584576;1;40;19,6;2,5;11,6;20,7;5,1;24;6,0702944;0,39999998
3;0;0;0;3;0;0;0;0;0;60;7;2;1;1;12;0,8;0;0;0;0;0;0;0;0;0;0;0,2;0;2;1;10;;1;2,4281175;2,4281175;0;0;0;1,2140588;3;0;;1;2,4281175;1,6187451;2,4281175;0;0;0;3;1;1;320;197,68399;554,96497;342,83655;0;0;1;1;0;1;0;;;0;0;0;0;1;26,116;1;1;1;2;1;1;1;1;2;1;1;2;2;1;2;3;3;3;3;3;3;3;3;uuid:9c976f91-26f7-4f03-bb59-9b202c470d49;1;0;0;0;0;0;0;0;0;0;0;1;0;2;;;;49;11,7;0,6;5,3;12,8;2,4;16,1;0;1
;;;;;;;;;;70;8;1;1;1;2;0,6;0,35;0,05;0;0;0;0;0;0;0;0;0;0;3;2;10;30;1;4,856235;0;0;4,856235;0;0;2;;;1;4,856235;1,6187451;0;0;4,856235;0;1;1;0;;;;;0;0;1;0;0;1;;;;1;1;0;0;0;;1;1;1;3;3;1;1;1;3;3;1;3;3;2;2;2;2;2;2;2;2;2;2;uuid:1de51756-316d-45d2-a21a-79d79624021d;1;1;1;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;0;1
2;0;0;1;1;0;0;0;0;0;52;6;1;2;1;2;0,5;0,2;0;0;0;0;0;0,3;0;0;0;0;0;7;5;10;24;1;5,2609215;0;0;5,2609215;0;0;2;;;1;5,2609215;4,856235;0;0;5,2609215;0;2;1;1;640;131,78934;1109,9299;228,55771;0;1;0;1;0;1;0;;;1;1;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:70cbe284-1431-4e02-926a-b58fbe200050;1;1;0;0;0;0;0;1;0;0;0;0;0;3;0,9171964;0,023343263;3;61;2,2;0;1;2,1;0,4;2,9;0;1
2;0;1;1;0;0;0;0;0;1;76;8;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;8;35;1;2,832804;2,832804;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:323f111f-d1ff-459a-8c92-7da7e7ba779e;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0,88478714;0,002342068;3;48;11,7;0,6;5,3;12,8;2,4;16,1;;
9;0;0;2;1;3;3;0;0;2;34;4;1;0;1;2;0,8;0,2;0;0;0;0;0;0;0;0;0;0;0;3;2;10;8;1;1,6187451;1,6187451;0;0;0;0;1;0;;1;1,6187451;0;1,6187451;0;0;0;1;1;0;;;;;1;1;1;1;1;1;;;;1;1;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;2;2;2;2;3;3;3;2;3;3;uuid:c8be73ff-3094-4c6d-8c2d-02319b00033b;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0,8299419;-0,03319763;3;36;29;3,7;16,2;31,4;7,9;35,4;0;1
